0.01.553.998 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.554.129 I srv          init: The UI is disabled
0.01.554.130 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.554.223 W srv  llama_server: -----------------
0.01.554.225 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.554.226 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.554.227 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.554.228 W srv  llama_server: -----------------
0.01.563.410 I srv    load_model: loading model 'D:\Celestiny\models\qwen3-4b-instruct-2507-q8_0.gguf'
0.02.385.643 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.06.769.730 I cmn          init: llama threadpool init, n_threads = 6
0.08.149.944 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.08.171.740 I srv  llama_server: model loaded
0.08.171.749 I srv  llama_server: listening on http://127.0.0.1:18081
0.12.218.203 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.219.315 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.527.885 I slot print_timing: id  0 | task 0 | prompt eval time =    1822.03 ms /   734 tokens (    2.48 ms per token,   402.85 tokens per second)
0.17.527.895 I slot print_timing: id  0 | task 0 |        eval time =    3486.10 ms /    50 tokens (   71.14 ms per token,    14.06 tokens per second)
0.17.527.897 I slot print_timing: id  0 | task 0 |       total time =    5308.13 ms /   784 tokens
0.17.527.932 I slot print_timing: id  0 | task 0 |    graphs reused =         50
0.17.528.210 I slot      release: id  0 | task 0 | stop processing: n_tokens = 783, truncated = 0
0.17.650.871 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.916 (> 0.100 thold), f_keep = 1.000
0.17.651.215 I slot launch_slot_: id  0 | task 53 | processing task, is_child = 0
0.21.117.952 I slot print_timing: id  0 | task 53 | prompt eval time =    1649.34 ms /   855 tokens (    1.93 ms per token,   518.39 tokens per second)
0.21.117.963 I slot print_timing: id  0 | task 53 |        eval time =    1817.38 ms /    28 tokens (   67.31 ms per token,    14.86 tokens per second)
